时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
赢金贷
2015-5-12,1.0,6.0,8.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,1.0,6.0,8.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,3.0,8.6,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,6.0,15.3,20.0,2,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,2.0,6.5,22.0,8.5,2,3.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,11.0,20.0,17.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,6.0,15.3,18.5,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,6.8,22.0,18.5,2,3.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,1.0,3.0,22.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,3.0,22.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,1.0,4.0,22.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,4.5,22.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,4.0,22.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,1.0,6.0,22.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,3.0,22.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,1.0,3.0,21.6,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,1.0,3.5,21.6,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,1.0,4.5,21.6,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,1.0,3.0,21.6,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,1.0,4.0,21.6,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,3.5,21.6,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,4.5,21.6,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,1.0,4.0,21.6,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,4.0,21.6,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
