时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
荣桓世远
2015-3-26,2.0,5.6,5.8,1.0,1,5.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,2.0,5.3,5.8,1.0,1,5.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,2.0,4.0,5.8,1.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,20.0,10.2,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,17.9,10.53,30.0,2,8.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,24.0,10.53,30.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,23.92,12.4,30.0,3,7.973,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,30.29,12.4,30.0,3,10.097,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,26.44,12.4,30.0,2,13.22,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,4.0,22.65,15.2,30.0,2,11.325,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,29.51,12.4,30.0,2,14.755,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,4.0,26.3,12.4,30.0,2,13.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,5.0,33.59,13.92,42.0,3,11.195,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,4.0,27.5,12.4,30.0,3,9.167,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,4.0,28.77,12.4,30.0,2,14.383,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,29.23,12.4,30.0,2,14.613,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,4.0,22.67,12.4,30.0,3,7.555,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,6.0,39.74,14.27,30.0,3,13.247,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,3.0,30.0,18.0,30.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,6.0,94.82,18.0,45.0,4,23.705,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,2.0,29.36,18.0,30.0,1,29.36,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,2.0,14.2,18.0,30.0,1,14.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,15.0,18.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,10.0,18.0,30.0,2,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,2.0,15.0,18.0,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,2.0,16.0,18.0,30.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,2.0,12.0,18.0,30.0,2,5.998,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,9.6,18.0,30.0,1,9.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,2.0,21.02,18.0,30.0,2,10.51,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,2.0,23.25,18.0,30.0,1,23.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,14.0,18.0,30.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,2.0,14.0,18.0,30.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,2.0,22.1,18.0,30.0,1,22.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,3.0,22.0,18.0,30.0,1,22.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,4.0,20.0,18.0,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,4.0,22.34,18.0,30.0,1,22.34,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,3.0,20.7,18.0,30.0,2,10.35,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,1.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,19.4,18.0,30.0,1,19.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,3.0,33.3,18.0,50.0,2,16.648,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,4.0,26.26,18.0,30.0,2,13.128,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,4.0,50.0,18.0,30.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,4.0,58.0,18.0,37.5,3,19.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,2.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,2.0,14.0,18.0,30.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,2.0,12.8,18.0,45.0,1,12.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,2.0,12.28,18.0,30.0,2,6.14,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,2.0,9.3,18.0,30.0,1,9.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,2.0,15.6,18.0,30.0,2,7.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,2.0,15.3,18.0,30.0,1,15.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,3.0,16.0,18.0,30.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,2.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,3.0,15.0,18.0,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,2.0,11.0,18.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,4.0,20.0,18.0,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,4.0,24.4,18.0,30.0,2,12.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,3.0,15.0,18.0,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,4.0,28.0,18.0,30.0,1,28.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,3.0,13.0,18.0,30.0,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,5.0,27.0,18.0,30.0,2,13.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,6.0,37.72,18.0,30.0,2,18.86,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,5.0,29.9,18.0,30.0,3,9.967,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,7.0,49.9,18.0,30.0,3,16.633,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,5.0,45.0,18.0,30.0,1,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,3.0,17.35,18.0,40.0,2,8.675,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,3.0,16.68,13.8,14.3,2,8.34,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,2.0,17.82,18.0,30.0,1,17.815,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,5.0,26.26,15.48,20.6,2,13.13,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,3.0,12.3,18.0,40.0,2,6.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-11,4.0,18.76,14.85,18.3,2,9.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-12,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-13,4.0,20.9,14.85,18.3,3,6.967,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-14,3.0,16.7,18.0,30.0,2,8.35,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-17,3.0,15.6,18.0,40.0,3,5.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-18,7.0,34.0,16.2,23.3,3,11.332,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-19,5.0,37.85,18.0,30.0,2,18.925,no_data_yet,no_data_yet,no_data_yet,no_data_yet
