时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
微企融
2015-3-26,3.0,65.0,7.6,30.0,3,21.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,120.0,8.53,70.0,3,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,20.0,9.0,90.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,65.0,8.3,60.0,2,32.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,140.0,8.53,70.0,2,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,50.0,9.0,90.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,50.0,7.6,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,30.0,9.0,90.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,120.0,8.53,70.0,2,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,30.0,10.0,180.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,80.0,8.3,60.0,2,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,70.0,8.53,70.0,3,23.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,60.0,8.3,60.0,2,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,3.0,100.0,8.53,70.0,3,33.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,170.0,9.62,210.0,4,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,1.0,30.0,11.0,360.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,3.0,140.0,10.67,300.0,3,46.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,20.0,7.6,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,30.0,7.6,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,4.0,125.0,9.4,165.0,4,31.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,5.0,170.0,9.32,150.0,5,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,2.0,40.0,9.0,135.0,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,1.0,50.0,10.0,180.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,20.0,7.6,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,120.0,10.33,240.0,3,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,40.0,8.3,60.0,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,70.0,10.5,270.0,2,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
