时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
民商理财
2015-3-26,1.0,4.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,1.0,6.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,1.0,9.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,1.0,3.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,1.0,10.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,4.2,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,9.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,5.8,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,9.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,25.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,7.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,7.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,12.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,11.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,1.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,14.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,5.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,1.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,5.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,10.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,1.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,11.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,13.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,2.0,8.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,11.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,1.0,3.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,17.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,12.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,5.5,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,1.0,7.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,1.0,7.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,1.0,3.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,1.0,14.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,1.0,14.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,2.0,8.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,14.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,1.0,3.0,20.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,1.0,12.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,1.0,12.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,1.0,5.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,1.0,4.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,5.0,34.0,16.8,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,2.0,9.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,2.0,13.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,1.0,3.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,1.0,5.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,2.0,15.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,3.0,20.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,2.0,18.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,2.0,16.5,18.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,10.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,10.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,1.0,12.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,1.0,17.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,2.0,20.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,1.0,6.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,22.6,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,1.0,14.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,1.0,4.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,1.0,3.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,1.0,14.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,3.0,17.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,2.0,10.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,1.0,14.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,1.0,3.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,1.0,15.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,1.0,3.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,1.0,12.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,1.0,12.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,1.0,5.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,1.0,6.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,3.0,12.5,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,2.0,9.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,1.0,5.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,1.0,9.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,1.0,5.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,1.0,5.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-11,1.0,11.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-13,3.0,28.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-14,2.0,14.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
