时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
有融网
2015-3-26,2.0,36.0,10.08,36.0,2,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,1.0,24.0,10.58,41.0,1,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,85.0,9.91,40.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,20.5,10.58,41.0,1,20.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,23.0,9.58,37.0,1,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,1.0,67.0,9.58,39.0,1,67.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,12.0,10.58,60.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,80.6,9.58,31.0,1,80.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,4.0,9.58,29.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,17.5,9.58,36.0,1,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,32.0,9.58,37.0,1,32.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,37.0,9.58,32.5,1,37.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,121.8,9.58,33.0,1,121.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,106.7,9.58,31.0,2,53.35,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,3.0,140.5,9.58,31.0,2,70.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,33.5,9.58,33.0,1,33.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,2.0,41.0,9.58,31.0,2,20.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,8.0,9.58,33.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,65.6,9.58,32.7,1,65.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,173.0,10.28,116.0,2,86.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,3.0,42.5,9.58,33.7,1,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,54.5,9.58,31.0,2,27.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,1.0,42.0,9.58,35.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,30.0,9.58,36.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,69.5,10.83,33.5,1,69.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,15.5,9.58,31.0,2,7.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,2.0,53.0,9.58,34.0,1,53.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,3.0,38.5,10.75,42.0,2,19.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,2.0,114.0,10.74,110.5,2,57.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,5.0,191.8,10.74,67.0,3,63.933,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,4.0,10.58,61.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,4.0,84.0,9.58,37.0,2,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,3.0,94.5,10.41,33.7,2,47.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,1.0,63.0,10.58,41.0,1,63.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,69.3,9.58,29.0,1,69.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,32.8,10.83,33.0,2,16.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,5.0,253.7,10.84,47.8,3,84.567,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,5.0,150.7,9.98,40.8,4,37.675,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,64.5,10.41,32.0,2,32.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,50.9,9.58,35.5,2,25.45,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,44.3,10.33,37.0,2,22.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,2.0,49.0,10.08,38.0,1,49.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,4.0,85.9,10.46,36.8,3,28.633,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,4.0,146.4,10.33,41.8,2,73.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,4.0,55.1,10.21,37.5,2,27.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,5.0,82.8,10.88,101.8,2,41.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,6.0,61.5,9.83,33.3,1,61.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,59.7,10.08,31.7,1,59.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,130.0,13.24,224.5,2,65.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,2.0,41.7,9.58,33.5,1,41.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,73.4,9.91,41.0,2,36.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,4.0,71.9,9.96,30.0,2,35.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,5.0,187.3,9.58,31.4,3,62.433,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,70.1,9.58,31.3,1,70.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,4.0,66.1,9.96,32.0,2,33.05,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,1.0,12.2,9.58,34.0,1,12.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,2.0,56.0,10.33,32.0,1,56.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,3.0,121.4,9.58,34.0,2,60.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,4.0,71.7,9.96,35.8,2,35.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,35.1,10.33,34.0,2,17.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,2.0,28.4,10.33,34.0,2,14.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,2.0,81.0,9.58,37.0,2,40.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,3.0,81.8,9.91,33.3,2,40.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,3.0,71.8,9.58,37.3,2,35.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,3.0,33.5,9.58,36.0,1,33.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,5.0,95.2,9.78,34.6,2,47.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,29.3,9.58,31.5,2,14.65,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,1.0,29.7,9.58,37.0,1,29.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,8.0,322.6,9.96,35.1,2,161.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,2.0,111.7,10.08,37.5,2,55.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,3.0,64.0,9.91,36.7,2,32.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,4.0,176.9,9.83,35.8,3,58.967,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,7.0,154.1,10.29,38.6,2,77.05,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,5.0,142.0,10.18,37.0,3,47.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,5.0,125.0,10.18,34.6,2,62.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,13.0,266.9,9.81,35.8,2,133.45,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,1.0,17.6,9.58,37.0,1,17.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,2.0,101.3,10.08,38.5,1,101.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,6.0,228.7,9.91,38.8,3,76.233,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,5.0,160.7,9.98,39.4,1,160.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,7.0,191.9,9.98,82.0,3,63.967,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,7.0,240.1,9.87,40.0,4,60.025,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,6.0,276.4,10.25,50.7,3,92.133,no_data_yet,no_data_yet,no_data_yet,no_data_yet
