时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
鲁家所
2015-4-30,1.0,2.5,18.8,30.0,1,2.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,8.0,19.15,22.5,2,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,5.0,20.0,1.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,1.0,4.0,18.6,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,6.0,8.8,1.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,25.0,15.6,13.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,1.0,6.0,20.0,60.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,1.0,11.0,16.8,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,1.0,6.0,12.8,1.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,1.0,12.0,20.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,3.0,15.8,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,3.0,15.8,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,1.0,8.0,16.8,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,6.0,8.8,1.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,2.0,9.0,17.4,30.0,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,3.0,15.6,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,1.0,7.0,15.6,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,1.0,6.0,16.8,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,1.0,10.0,20.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,1.0,5.0,15.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
