时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
唯信贷
2015-3-26,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,2.0,7.69,18.0,52.5,1,7.689,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,7.69,18.0,52.5,1,7.689,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,2.0,5.89,18.0,60.0,2,2.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,3.0,14.49,18.0,20.0,1,14.489,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,2.0,5.89,18.0,60.0,2,2.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,5.0,44.49,18.0,30.2,2,22.244,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,17.69,18.0,41.3,2,8.844,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,2.0,5.89,18.0,60.0,2,2.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,4.0,24.69,18.0,41.3,3,8.23,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,3.0,14.49,18.0,40.0,1,14.489,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,4.0,37.69,18.0,34.0,2,18.844,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,2.0,7.69,18.0,52.5,1,7.689,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,5.89,18.0,60.0,2,2.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,7.69,18.0,52.5,1,7.689,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,5.0,24.49,18.0,36.0,3,8.163,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,2.0,7.69,18.0,52.5,1,7.689,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,5.89,18.0,60.0,2,2.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,7.0,77.49,18.0,30.1,3,25.83,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,3.0,12.69,18.0,45.0,2,6.344,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,1.0,5.8,18.0,15.0,1,5.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,1.0,5.8,18.0,15.0,1,5.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,1.0,5.8,18.0,15.0,1,5.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,4.0,21.6,18.0,22.5,2,10.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,20.8,18.0,22.5,2,10.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,3.0,15.8,18.0,25.0,2,7.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,4.0,18.8,18.0,26.3,3,6.267,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,2.0,11.6,18.0,15.0,1,11.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,30.8,24.0,135.0,2,15.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,3.0,29.8,24.0,135.0,2,14.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,1.0,5.8,18.0,15.0,1,5.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,15.8,18.0,25.0,2,7.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,10.8,18.0,22.5,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
