时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金融工场
2015-3-26,18.0,370.11,10.22,150.7,6,61.684,no_data_yet,no_data_yet,197.41,28801.46
2015-3-27,9.0,372.0,9.78,88.3,3,124.0,no_data_yet,no_data_yet,62.88,28744.82
2015-3-28,7.0,302.0,9.86,100.7,3,100.667,no_data_yet,no_data_yet,36.96,28714.25
2015-3-29,3.0,122.0,9.33,75.0,3,40.667,no_data_yet,no_data_yet,478.1,28238.0
2015-3-30,16.0,455.5,9.66,105.2,6,75.917,no_data_yet,no_data_yet,297.93,28545.91
2015-3-31,3.0,18.81,9.0,50.0,2,9.407,no_data_yet,no_data_yet,271.63,28274.84
2015-4-1,11.0,237.0,9.64,92.0,4,59.25,no_data_yet,no_data_yet,115.13,28395.44
2015-4-2,16.0,505.08,10.63,160.6,7,72.154,no_data_yet,no_data_yet,356.73,28777.84
2015-4-3,10.0,245.59,10.0,106.8,6,40.931,no_data_yet,no_data_yet,37.63,28821.17
2015-4-4,1.0,50.0,8.5,30.0,1,50.0,no_data_yet,no_data_yet,283.17,28538.35
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,200.84,28337.51
2015-4-6,3.0,110.0,10.0,140.0,2,55.0,no_data_yet,no_data_yet,191.63,28150.34
2015-4-7,11.0,334.49,9.73,75.9,4,83.623,no_data_yet,no_data_yet,28.37,28128.65
2015-4-8,16.0,531.83,10.43,185.2,8,66.478,no_data_yet,no_data_yet,516.99,28667.04
2015-4-9,9.0,1165.0,10.61,222.7,6,194.167,no_data_yet,no_data_yet,1020.13,29711.54
2015-4-10,9.0,724.8,10.56,206.0,5,144.959,no_data_yet,no_data_yet,667.94,30416.22
2015-4-11,7.0,166.79,10.57,222.9,5,33.358,no_data_yet,no_data_yet,2.05,30428.69
2015-4-12,7.0,135.56,9.98,218.6,5,27.112,no_data_yet,no_data_yet,174.4,30260.74
2015-4-13,27.0,1177.47,10.22,147.1,6,196.245,no_data_yet,no_data_yet,393.19,30707.92
2015-4-14,13.0,403.32,9.64,133.2,7,57.618,no_data_yet,no_data_yet,35.55,30755.23
2015-4-15,5.0,177.0,10.6,203.2,3,59.0,no_data_yet,no_data_yet,197.62,30567.6
2015-4-16,9.0,267.14,9.61,102.2,7,38.162,no_data_yet,no_data_yet,146.19,30723.19
2015-4-17,17.0,596.16,9.79,158.2,5,119.231,no_data_yet,no_data_yet,577.19,31321.89
2015-4-18,8.0,329.57,9.81,104.6,4,82.392,no_data_yet,no_data_yet,167.34,31162.64
2015-4-19,8.0,292.3,10.63,242.5,4,73.076,no_data_yet,no_data_yet,207.37,31388.17
2015-4-20,13.0,465.0,9.96,100.2,2,232.5,no_data_yet,no_data_yet,447.55,31848.71
2015-4-21,14.0,345.33,11.18,205.9,7,49.333,no_data_yet,no_data_yet,296.44,32169.36
2015-4-22,13.0,324.99,10.46,149.8,6,54.164,no_data_yet,no_data_yet,324.49,32506.87
2015-4-23,8.0,213.28,10.44,129.6,6,35.547,no_data_yet,no_data_yet,196.38,32712.5
2015-4-24,19.0,843.0,10.58,112.0,6,140.5,no_data_yet,no_data_yet,816.56,33550.81
2015-4-25,2.0,120.0,10.0,32.5,1,120.0,no_data_yet,no_data_yet,249.42,33302.28
2015-4-26,1.0,20.0,10.0,48.0,1,20.0,no_data_yet,no_data_yet,375.49,32927.05
2015-4-27,8.0,327.71,10.63,127.3,7,46.816,no_data_yet,no_data_yet,124.13,32813.89
2015-4-28,9.0,247.01,13.28,383.9,5,49.403,no_data_yet,no_data_yet,94.52,32941.79
2015-4-29,7.0,197.64,11.26,200.0,6,32.939,no_data_yet,no_data_yet,19.53,32936.0
2015-4-30,13.0,541.53,10.31,149.9,5,108.306,no_data_yet,no_data_yet,538.99,33488.07
2015-5-1,3.0,77.44,10.33,80.0,3,25.813,no_data_yet,no_data_yet,15.5,33505.61
2015-5-2,3.0,92.29,10.33,140.0,3,30.764,no_data_yet,no_data_yet,46.09,33462.41
2015-5-3,3.0,230.0,9.33,30.0,1,230.0,no_data_yet,no_data_yet,92.02,33556.16
2015-5-4,11.0,342.98,12.91,354.5,5,68.597,no_data_yet,no_data_yet,278.62,33870.45
2015-5-5,7.0,472.64,10.86,165.9,5,94.529,no_data_yet,no_data_yet,450.65,34351.82
2015-5-6,13.0,470.0,9.38,71.3,5,94.0,no_data_yet,no_data_yet,388.98,34751.72
2015-5-7,7.0,235.0,10.57,177.4,2,117.5,no_data_yet,no_data_yet,90.64,34855.83
2015-5-8,5.0,180.0,10.3,92.0,4,45.0,no_data_yet,no_data_yet,231.07,34630.45
2015-5-9,4.0,135.57,11.5,187.5,3,45.19,no_data_yet,no_data_yet,956.06,33681.68
2015-5-10,8.0,305.89,11.63,185.6,7,43.699,no_data_yet,no_data_yet,53.56,33750.82
2015-5-11,10.0,643.0,10.8,160.5,4,160.75,no_data_yet,no_data_yet,298.55,34065.93
2015-5-12,4.0,300.0,10.5,81.0,3,100.0,no_data_yet,no_data_yet,188.52,33885.59
2015-5-13,11.0,517.17,10.41,141.0,6,86.195,no_data_yet,no_data_yet,195.14,34094.88
2015-5-14,11.0,498.92,11.32,215.5,7,71.274,no_data_yet,no_data_yet,492.89,33634.81
2015-5-15,16.0,580.6,11.0,151.0,7,82.943,no_data_yet,no_data_yet,101.05,33759.2
2015-5-16,7.0,277.0,9.93,84.9,6,46.167,no_data_yet,no_data_yet,47.02,33814.57
2015-5-17,15.0,445.44,10.13,108.7,7,63.635,no_data_yet,no_data_yet,418.75,34247.01
2015-5-18,26.0,1320.0,10.75,154.3,6,220.0,no_data_yet,no_data_yet,981.11,35289.56
2015-5-19,28.0,1160.0,10.02,126.4,6,193.333,no_data_yet,no_data_yet,886.99,36199.54
2015-5-20,19.0,1310.0,10.35,108.2,7,187.143,no_data_yet,no_data_yet,1279.31,37501.82
2015-5-21,8.0,470.0,11.56,202.1,3,156.667,no_data_yet,no_data_yet,196.95,37709.29
2015-5-22,11.0,489.3,10.86,147.0,6,81.55,no_data_yet,no_data_yet,226.91,37948.21
2015-5-23,1.0,50.0,9.0,35.0,1,50.0,no_data_yet,no_data_yet,204.78,37743.86
2015-5-24,4.0,300.0,9.0,26.8,1,300.0,no_data_yet,no_data_yet,67.19,37678.7
2015-5-25,7.0,360.0,11.14,203.0,2,180.0,no_data_yet,no_data_yet,237.32,37928.78
2015-5-26,14.0,733.3,10.54,133.4,5,146.66,no_data_yet,no_data_yet,637.12,38578.39
2015-5-27,11.0,590.0,10.5,100.6,5,118.0,no_data_yet,no_data_yet,287.09,38878.3
2015-5-28,8.0,440.0,10.88,76.6,4,110.0,no_data_yet,no_data_yet,216.86,39102.75
2015-5-29,11.0,724.25,10.91,88.3,3,241.417,no_data_yet,no_data_yet,415.84,39527.36
2015-5-30,5.0,360.0,11.2,92.6,3,120.0,no_data_yet,no_data_yet,64.21,39595.41
2015-5-31,4.0,310.0,11.5,149.3,1,310.0,no_data_yet,no_data_yet,149.63,39748.91
2015-6-1,7.0,480.0,11.57,118.3,3,160.0,no_data_yet,no_data_yet,205.69,39960.73
2015-6-2,8.0,530.21,10.94,86.4,4,132.553,no_data_yet,no_data_yet,151.76,40118.59
2015-6-3,3.0,300.0,10.67,26.7,1,300.0,no_data_yet,no_data_yet,271.59,39849.34
2015-6-4,21.0,2280.0,12.1,137.1,6,380.0,no_data_yet,no_data_yet,1567.15,41518.11
2015-6-5,20.0,1801.0,11.15,74.1,4,450.25,no_data_yet,no_data_yet,1898.86,39639.8
2015-6-6,4.0,400.0,10.25,18.0,1,400.0,no_data_yet,no_data_yet,412.29,39229.53
2015-6-7,3.0,209.9,11.83,192.0,1,209.9,no_data_yet,no_data_yet,49.62,39282.4
2015-6-8,11.0,1150.0,11.27,99.0,5,230.0,no_data_yet,no_data_yet,503.76,39833.6
2015-6-9,10.0,514.5,10.95,72.6,3,171.5,no_data_yet,no_data_yet,227.67,40067.54
2015-6-10,22.0,1475.0,11.25,124.1,6,245.833,no_data_yet,no_data_yet,1057.17,41152.67
2015-6-11,12.0,2677.25,11.88,146.3,8,334.656,no_data_yet,no_data_yet,2366.31,43694.93
